,location,latitude,longitude,fatality_count
471,"Columbia Heights, MN",45.0481968,-93.2474098,1
472,"Columbia Township, MI",42.1142112,-84.29107590000002,1
473,"Columbia, MD",39.2037144,-76.86104619999998,1
474,"Columbia, MO",38.95170529999999,-92.3340724,3
475,"Columbia, TN",35.6150716,-87.03528309999999,1
476,"Columbua, IN",39.2014404,-85.9213796,1
477,"Columbus, GA",32.4609764,-84.9877094,3
478,"Columbus, MS",33.4956744,-88.4272627,3
479,"Columbus, OH",39.9611755,-82.99879419999998,27
480,"Commerce City, CO",39.8083196,-104.9338675,1
481,"Commerce, GA",34.203996999999994,-83.4571057,1
482,"Compton, CA",33.8958492,-118.2200712,3
483,"Concord, CA",37.9779776,-122.0310733,1
484,"Concord, VA",37.3426444,-78.9750189,1
485,"Coney Island, NY",40.5755438,-73.9707016,1
486,"Conroe, TX",30.3118769,-95.4560512,3
487,"Constantia, NY",43.2644105,-75.94632399999998,1
488,"Converse, LA",31.781558500000006,-93.693794,1
489,"Coolin, ID",48.479643,-116.8494591,1
490,"Coon Rapids, MN",45.1732394,-93.30300629999999,1
491,"Coos Bay, OR",43.3665007,-124.2178903,1
492,"Copper Center, AK",61.955,-145.30527780000003,1
493,"Coral Springs, FL",26.271192,-80.27060440000002,1
494,"Corning, CA",39.92765720000001,-122.1791556,1
495,"Corning, WI",45.2618507,-89.9623372,1
496,"Corona, CA",33.8752935,-117.5664384,1
497,"Corpus Christi, TX",27.8005828,-97.396381,4
498,"Cosby, TN",35.81547720000001,-83.2477597,1
499,"Cottonwood Heights, UT",40.6183158,-111.81629309999998,1
500,"Cottonwood, AZ",34.7391876,-112.0098791,2
501,"Cottonwood, CA",40.38570870000001,-122.2808355,1
502,"Counce, TN",35.0422751,-88.27353990000002,1
503,"Council Bluffs, IA",41.2619444,-95.8608333,1
